,Occupancy Type,Zones,value
2015-10-07 09:00:00+08:00,Working Hours,Zone 3,24.4050000375
2015-10-07 09:10:00+08:00,Working Hours,Zone 3,24.4589999813
2015-10-07 09:20:00+08:00,Working Hours,Zone 3,24.407361125
2015-10-07 09:30:00+08:00,Working Hours,Zone 3,24.3401250313
2015-10-07 09:40:00+08:00,Working Hours,Zone 3,24.2451389583
2015-10-07 09:50:00+08:00,Working Hours,Zone 3,24.159749775
2015-10-07 10:00:00+08:00,Working Hours,Zone 3,24.1194997563
2015-10-07 10:10:00+08:00,Working Hours,Zone 3,24.1626388334
2015-10-07 10:20:00+08:00,Working Hours,Zone 3,24.11624995
2015-10-07 10:30:00+08:00,Working Hours,Zone 3,24.1243054097
2015-10-07 10:40:00+08:00,Working Hours,Zone 3,24.084749775
2015-10-07 10:50:00+08:00,Working Hours,Zone 3,24.0996250188
2015-10-07 11:00:00+08:00,Working Hours,Zone 3,24.0713889236
2015-10-07 11:10:00+08:00,Working Hours,Zone 3,24.073874825
2015-10-07 11:20:00+08:00,Working Hours,Zone 3,24.1556942778
2015-10-07 11:30:00+08:00,Working Hours,Zone 3,24.2713750375
2015-10-07 11:40:00+08:00,Working Hours,Zone 3,24.1993749687
2015-10-07 11:50:00+08:00,Working Hours,Zone 3,24.1015275139
2015-10-07 12:00:00+08:00,Working Hours,Zone 3,24.0588747313
2015-10-07 12:10:00+08:00,Working Hours,Zone 3,24.0029166875
2015-10-07 12:20:00+08:00,Working Hours,Zone 3,24.01837485
2015-10-07 12:30:00+08:00,Working Hours,Zone 3,23.962500075
2015-10-07 12:40:00+08:00,Working Hours,Zone 3,23.9963889236
2015-10-07 12:50:00+08:00,Working Hours,Zone 3,24.0913750688
2015-10-07 13:00:00+08:00,Working Hours,Zone 3,24.086249868
2015-10-07 13:10:00+08:00,Working Hours,Zone 3,24.1587500375
2015-10-07 13:20:00+08:00,Working Hours,Zone 3,24.1209999063
2015-10-07 13:30:00+08:00,Working Hours,Zone 3,24.1033334305
2015-10-07 13:40:00+08:00,Working Hours,Zone 3,24.0727498875
2015-10-07 13:50:00+08:00,Working Hours,Zone 3,24.122499875
2015-10-07 14:00:00+08:00,Working Hours,Zone 3,24.2077501625
2015-10-07 14:10:00+08:00,Working Hours,Zone 3,24.176750075
2015-10-07 14:20:00+08:00,Working Hours,Zone 3,24.1219444236
2015-10-07 14:30:00+08:00,Working Hours,Zone 3,24.1637498438
2015-10-07 14:40:00+08:00,Working Hours,Zone 3,24.2341251813
2015-10-07 14:50:00+08:00,Working Hours,Zone 3,24.1565278125
2015-10-07 15:00:00+08:00,Working Hours,Zone 3,24.1393750313
2015-10-07 15:10:00+08:00,Working Hours,Zone 3,24.1887499931
2015-10-07 15:20:00+08:00,Working Hours,Zone 3,24.188
2015-10-07 15:30:00+08:00,Working Hours,Zone 3,24.1751249625
2015-10-07 15:40:00+08:00,Working Hours,Zone 3,24.1688888889
2015-10-07 15:50:00+08:00,Working Hours,Zone 3,24.218000075
2015-10-07 16:00:00+08:00,Working Hours,Zone 3,24.1976388403
2015-10-07 16:10:00+08:00,Working Hours,Zone 3,24.1342499375
2015-10-07 16:20:00+08:00,Working Hours,Zone 3,24.1025001563
2015-10-07 16:30:00+08:00,Working Hours,Zone 3,24.0884722014
2015-10-07 16:40:00+08:00,Working Hours,Zone 3,24.0481249063
2015-10-07 16:50:00+08:00,Working Hours,Zone 3,23.9141668958
2015-10-07 17:00:00+08:00,Working Hours,Zone 3,23.9228748187
2015-10-08 09:00:00+08:00,Working Hours,Zone 3,24.910277743
2015-10-08 09:10:00+08:00,Working Hours,Zone 3,24.8398750812
2015-10-08 09:20:00+08:00,Working Hours,Zone 3,24.7147221945
2015-10-08 09:30:00+08:00,Working Hours,Zone 3,24.67537495
2015-10-08 09:40:00+08:00,Working Hours,Zone 3,24.5839997625
2015-10-08 09:50:00+08:00,Working Hours,Zone 3,24.4949997778
2015-10-08 10:00:00+08:00,Working Hours,Zone 3,24.7547498125
2015-10-08 10:10:00+08:00,Working Hours,Zone 3,24.9815278542
2015-10-08 10:20:00+08:00,Working Hours,Zone 3,25.1353750812
2015-10-08 10:30:00+08:00,Working Hours,Zone 3,25.2370834722
2015-10-08 10:40:00+08:00,Working Hours,Zone 3,25.43824985
2015-10-08 10:50:00+08:00,Working Hours,Zone 3,25.296249868
2015-10-08 11:00:00+08:00,Working Hours,Zone 3,25.2838749375
2015-10-08 11:10:00+08:00,Working Hours,Zone 3,25.1672498188
2015-10-08 11:20:00+08:00,Working Hours,Zone 3,25.1904166181
2015-10-08 11:30:00+08:00,Working Hours,Zone 3,25.0463887222
2015-10-08 11:40:00+08:00,Working Hours,Zone 3,24.9678748688
2015-10-08 11:50:00+08:00,Working Hours,Zone 3,24.8240277014
2015-10-08 12:00:00+08:00,Working Hours,Zone 3,24.8061252
2015-10-08 12:10:00+08:00,Working Hours,Zone 3,24.7333748938
2015-10-08 12:20:00+08:00,Working Hours,Zone 3,24.7479166458
2015-10-08 12:30:00+08:00,Working Hours,Zone 3,24.7668056528
2015-10-08 12:40:00+08:00,Working Hours,Zone 3,24.6643749687
2015-10-08 12:50:00+08:00,Working Hours,Zone 3,24.7105555625
2015-10-08 13:00:00+08:00,Working Hours,Zone 3,24.5972499875
2015-10-08 13:10:00+08:00,Working Hours,Zone 3,24.5136112083
2015-10-08 13:20:00+08:00,Working Hours,Zone 3,24.5252498812
2015-10-08 13:30:00+08:00,Working Hours,Zone 3,24.5339999687
2015-10-08 13:40:00+08:00,Working Hours,Zone 3,24.5029167083
2015-10-08 13:50:00+08:00,Working Hours,Zone 3,24.4283332848
2015-10-08 14:00:00+08:00,Working Hours,Zone 3,24.4422499375
2015-10-08 14:10:00+08:00,Working Hours,Zone 3,24.4033751875
2015-10-08 14:20:00+08:00,Working Hours,Zone 3,24.6604165417
2015-10-08 14:30:00+08:00,Working Hours,Zone 3,24.733055625
2015-10-08 14:40:00+08:00,Working Hours,Zone 3,24.6213747938
2015-10-08 14:50:00+08:00,Working Hours,Zone 3,24.5399996944
2015-10-08 15:00:00+08:00,Working Hours,Zone 3,24.6212499625
2015-10-08 15:10:00+08:00,Working Hours,Zone 3,24.6571250062
