,Zones,Value,Occupancy Type,Unit
91,Zone 1,861.658317949,Working Hours,CO2 [ppm]
92,Zone 1,871.62014359,Working Hours,CO2 [ppm]
93,Zone 1,878.945015385,Working Hours,CO2 [ppm]
94,Zone 1,887.637196581,Working Hours,CO2 [ppm]
95,Zone 1,891.778190769,Working Hours,CO2 [ppm]
96,Zone 1,898.868666667,Working Hours,CO2 [ppm]
97,Zone 1,903.849579487,Working Hours,CO2 [ppm]
98,Zone 1,1262.47530256,Working Hours,CO2 [ppm]
99,Zone 1,1264.9169265,Working Hours,CO2 [ppm]
100,Zone 1,1268.5695959,Working Hours,CO2 [ppm]
101,Zone 1,1268.21800205,Working Hours,CO2 [ppm]
102,Zone 1,1268.1008041,Working Hours,CO2 [ppm]
103,Zone 1,1271.26514872,Working Hours,CO2 [ppm]
104,Zone 1,1270.67915897,Working Hours,CO2 [ppm]
105,Zone 1,1271.03075282,Working Hours,CO2 [ppm]
106,Zone 1,1198.46261026,Working Hours,CO2 [ppm]
107,Zone 1,972.202732308,Working Hours,CO2 [ppm]
108,Zone 1,973.316112821,Working Hours,CO2 [ppm]
109,Zone 1,976.099564102,Working Hours,CO2 [ppm]
110,Zone 1,977.593837949,Working Hours,CO2 [ppm]
111,Zone 1,979.35180718,Working Hours,CO2 [ppm]
112,Zone 1,984.391318974,Working Hours,CO2 [ppm]
113,Zone 1,989.782424615,Working Hours,CO2 [ppm]
114,Zone 1,995.173530256,Working Hours,CO2 [ppm]
115,Zone 1,994.235946667,Working Hours,CO2 [ppm]
116,Zone 1,984.303420513,Working Hours,CO2 [ppm]
117,Zone 1,982.04736,Working Hours,CO2 [ppm]
118,Zone 1,981.812964103,Working Hours,CO2 [ppm]
119,Zone 1,989.665226667,Working Hours,CO2 [ppm]
120,Zone 1,988.493247179,Working Hours,CO2 [ppm]
121,Zone 1,991.774789743,Working Hours,CO2 [ppm]
122,Zone 1,994.353144614,Working Hours,CO2 [ppm]
123,Zone 1,995.525124103,Working Hours,CO2 [ppm]
124,Zone 1,1002.6156,Working Hours,CO2 [ppm]
125,Zone 1,1001.61941744,Working Hours,CO2 [ppm]
126,Zone 1,1001.61941744,Working Hours,CO2 [ppm]
127,Zone 1,1005.01815795,Working Hours,CO2 [ppm]
128,Zone 1,1006.30733538,Working Hours,CO2 [ppm]
129,Zone 1,1011.46404513,Working Hours,CO2 [ppm]
130,Zone 1,1009.00288821,Working Hours,CO2 [ppm]
131,Zone 1,1010.87805538,Working Hours,CO2 [ppm]
132,Zone 1,1011.34684718,Working Hours,CO2 [ppm]
133,Zone 1,1017.79273436,Working Hours,CO2 [ppm]
134,Zone 1,1021.42587077,Working Hours,CO2 [ppm]
135,Zone 1,1019.43350564,Working Hours,CO2 [ppm]
136,Zone 1,1022.44158632,Working Hours,CO2 [ppm]
137,Zone 1,1022.48065231,Working Hours,CO2 [ppm]
138,Zone 1,1024.59021538,Working Hours,CO2 [ppm]
139,Zone 1,1024.88321026,Working Hours,CO2 [ppm]
140,Zone 1,1023.30103795,Working Hours,CO2 [ppm]
141,Zone 1,1023.30103795,Working Hours,CO2 [ppm]
142,Zone 1,1025.66452991,Working Hours,CO2 [ppm]
143,Zone 1,1024.00422564,Working Hours,CO2 [ppm]
144,Zone 1,1023.88702769,Working Hours,CO2 [ppm]
145,Zone 1,1019.12097778,Working Hours,CO2 [ppm]
146,Zone 1,1016.26916102,Working Hours,CO2 [ppm]
147,Zone 2,1089.84782066,Working Hours,CO2 [ppm]
148,Zone 2,1090.45506901,Working Hours,CO2 [ppm]
149,Zone 2,1091.42666637,Working Hours,CO2 [ppm]
150,Zone 2,1092.80309597,Working Hours,CO2 [ppm]
151,Zone 2,1099.22980769,Working Hours,CO2 [ppm]
152,Zone 2,1101.60819707,Working Hours,CO2 [ppm]
153,Zone 2,1102.23568704,Working Hours,CO2 [ppm]
154,Zone 2,1108.30817055,Working Hours,CO2 [ppm]
155,Zone 2,1121.1818356,Working Hours,CO2 [ppm]
156,Zone 2,1119.9673389,Working Hours,CO2 [ppm]
157,Zone 2,1121.78908396,Working Hours,CO2 [ppm]
158,Zone 2,1118.7528422,Working Hours,CO2 [ppm]
159,Zone 2,1115.35225143,Working Hours,CO2 [ppm]
160,Zone 2,1137.82044044,Working Hours,CO2 [ppm]
161,Zone 2,1148.46752821,Working Hours,CO2 [ppm]
162,Zone 2,1136.60594374,Working Hours,CO2 [ppm]
163,Zone 2,1140.49233319,Working Hours,CO2 [ppm]
164,Zone 2,1158.34543472,Working Hours,CO2 [ppm]
165,Zone 2,1147.90076308,Working Hours,CO2 [ppm]
166,Zone 2,1123.06430549,Working Hours,CO2 [ppm]
167,Zone 2,1102.72148572,Working Hours,CO2 [ppm]
168,Zone 2,1097.98494857,Working Hours,CO2 [ppm]
169,Zone 2,1090.57651868,Working Hours,CO2 [ppm]
170,Zone 2,1087.66172659,Working Hours,CO2 [ppm]
171,Zone 2,1057.42075868,Working Hours,CO2 [ppm]
172,Zone 2,1061.67149714,Working Hours,CO2 [ppm]
173,Zone 2,1076.48835692,Working Hours,CO2 [ppm]
174,Zone 2,1076.60980659,Working Hours,CO2 [ppm]
175,Zone 2,1092.51971341,Working Hours,CO2 [ppm]
176,Zone 2,1124.21807736,Working Hours,CO2 [ppm]
177,Zone 2,1105.75772747,Working Hours,CO2 [ppm]
178,Zone 2,1084.7469345,Working Hours,CO2 [ppm]
179,Zone 2,1086.8115789,Working Hours,CO2 [ppm]
180,Zone 2,1084.01823648,Working Hours,CO2 [ppm]
181,Zone 2,1087.78317626,Working Hours,CO2 [ppm]
182,Zone 2,1077.33850461,Working Hours,CO2 [ppm]
183,Zone 2,1084.62548483,Working Hours,CO2 [ppm]
184,Zone 2,1090.81941802,Working Hours,CO2 [ppm]
185,Zone 2,1089.66564615,Working Hours,CO2 [ppm]
186,Zone 2,1105.6362778,Working Hours,CO2 [ppm]
187,Zone 2,1103.45018374,Working Hours,CO2 [ppm]
188,Zone 2,1091.9934315,Working Hours,CO2 [ppm]
189,Zone 2,1092.39826373,Working Hours,CO2 [ppm]
190,Zone 2,1093.97710945,Working Hours,CO2 [ppm]
191,Zone 2,1099.32089494,Working Hours,CO2 [ppm]
192,Zone 2,1103.02510989,Working Hours,CO2 [ppm]
193,Zone 2,1091.42666637,Working Hours,CO2 [ppm]
194,Zone 2,1065.07208791,Working Hours,CO2 [ppm]
195,Zone 2,1046.85463736,Working Hours,CO2 [ppm]
196,Zone 2,992.50590989,Working Hours,CO2 [ppm]
197,Zone 2,987.830097582,Working Hours,CO2 [ppm]
198,Zone 2,982.891144322,Working Hours,CO2 [ppm]
199,Zone 2,978.842821978,Working Hours,CO2 [ppm]
200,Zone 2,972.527439121,Working Hours,CO2 [ppm]
201,Zone 2,968.924432234,Working Hours,CO2 [ppm]
202,Zone 2,966.454955604,Working Hours,CO2 [ppm]
203,Zone 2,961.435035897,Working Hours,CO2 [ppm]
204,Zone 2,960.018123077,Working Hours,CO2 [ppm]
205,Zone 2,959.107250549,Working Hours,CO2 [ppm]
206,Zone 2,960.018123077,Working Hours,CO2 [ppm]
207,Zone 2,954.755304029,Working Hours,CO2 [ppm]
208,Zone 2,956.010283956,Working Hours,CO2 [ppm]
209,Zone 2,957.184297436,Working Hours,CO2 [ppm]
210,Zone 2,957.285505494,Working Hours,CO2 [ppm]
211,Zone 2,956.496082637,Working Hours,CO2 [ppm]
212,Zone 2,953.439599268,Working Hours,CO2 [ppm]
213,Zone 2,953.23718315,Working Hours,CO2 [ppm]
214,Zone 2,951.152297143,Working Hours,CO2 [ppm]
215,Zone 2,950.706981685,Working Hours,CO2 [ppm]
216,Zone 2,948.844753407,Working Hours,CO2 [ppm]
217,Zone 2,950.706981685,Working Hours,CO2 [ppm]
218,Zone 2,949.188860806,Working Hours,CO2 [ppm]
219,Zone 2,950.05925011,Working Hours,CO2 [ppm]
220,Zone 2,950.200941392,Working Hours,CO2 [ppm]
221,Zone 2,949.330552088,Working Hours,CO2 [ppm]
222,Zone 2,949.593693041,Working Hours,CO2 [ppm]
223,Zone 2,946.29431033,Working Hours,CO2 [ppm]
224,Zone 2,946.253827106,Working Hours,CO2 [ppm]
225,Zone 2,945.322712967,Working Hours,CO2 [ppm]
226,Zone 2,946.355035165,Working Hours,CO2 [ppm]
227,Zone 2,945.848994872,Working Hours,CO2 [ppm]
228,Zone 2,945.687061978,Working Hours,CO2 [ppm]
229,Zone 2,948.480404395,Working Hours,CO2 [ppm]
230,Zone 2,947.508807033,Working Hours,CO2 [ppm]
231,Zone 2,948.379196337,Working Hours,CO2 [ppm]
232,Zone 2,948.075572161,Working Hours,CO2 [ppm]
233,Zone 2,951.395196484,Working Hours,CO2 [ppm]
234,Zone 2,951.719062271,Working Hours,CO2 [ppm]
235,Zone 2,952.52872674,Working Hours,CO2 [ppm]
236,Zone 2,955.524485275,Working Hours,CO2 [ppm]
237,Zone 2,957.083089377,Working Hours,CO2 [ppm]
238,Zone 2,961.475519121,Working Hours,CO2 [ppm]
239,Zone 2,968.722016117,Working Hours,CO2 [ppm]
240,Zone 2,974.288459341,Working Hours,CO2 [ppm]
241,Zone 2,974.834982857,Working Hours,CO2 [ppm]
242,Zone 2,968.5196,Working Hours,CO2 [ppm]
243,Zone 2,965.382150183,Working Hours,CO2 [ppm]
244,Zone 2,965.119009231,Working Hours,CO2 [ppm]
245,Zone 2,1058.59477216,Working Hours,CO2 [ppm]
246,Zone 2,1063.00744352,Working Hours,CO2 [ppm]
