Location,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,FinanceOffice1,FinanceOffice1,FinanceOffice1,FinanceOffice2,FinanceOffice2,FinanceOffice2,FinanceOffice3,FinanceOffice3,FinanceOffice3,FinanceSecretary,FinanceSecretary,HRDirector,HRDirector,HRDirector,HRMeeting,HRMeeting,HRMeeting,HROffice1,HROffice1,HROffice2,HROffice2,HeadofSchool,HeadofSchool,HeadofSchool,HeadofSchoolSecretary,HeadofSchoolSecretary,HeadofSchoolSecretary,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,Pantry,Pantry,Pantry,Pantry,Pantry
DeviceNum,Num0,Num1,Num2,Num3,Num4,Num5,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num3,Num4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-29 14:20:00+08:00,58.0,58.5,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,53.0,54.0,57.0,56.0,59.0,58.0,58.0,59.0,60.0,59.0,58.5,55.0,61.5,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,64.0,59.0,60.0,57.0,59.0,63.0,60.0,58.5,61.5,59.5
2016-12-29 14:25:00+08:00,58.0,58.6666666667,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,53.0,54.0,57.0,56.0,59.0,58.0,58.0,59.0,60.0,59.0,58.0,55.0,61.6666666667,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,64.0,59.3333333333,60.0,57.0,58.3333333333,62.3333333333,60.0,58.0,61.6666666667,59.0
2016-12-29 14:30:00+08:00,58.0,58.0,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,53.0,54.0,57.0,56.0,59.0,58.0,58.0,59.0,60.0,59.0,58.0,55.0,62.0,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,59.5,64.0,59.0,60.0,56.5,58.0,64.5,60.0,58.5,62.0,59.0
2016-12-29 14:35:00+08:00,58.0,58.6666666667,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,53.0,54.0,57.0,56.0,59.0,58.0,58.0,59.0,60.0,59.0,58.0,55.0,62.0,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,59.3333333333,63.3333333333,59.0,60.0,56.0,58.3333333333,64.6666666667,60.0,59.0,62.3333333333,59.0
2016-12-29 14:40:00+08:00,58.0,59.0,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,53.5,53.0,54.0,57.0,57.0,59.0,58.0,58.0,59.0,59.0,59.0,58.0,55.0,62.0,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,59.0,59.5,56.0,58.5,64.0,60.0,59.0,60.0,59.0
2016-12-29 14:45:00+08:00,58.0,58.0,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,53.6666666667,53.0,54.0,57.0,57.0,59.0,58.0,58.0,59.0,59.0,59.0,58.0,55.0,61.6666666667,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,59.6666666667,63.3333333333,59.0,59.0,56.0,58.6666666667,64.6666666667,60.0,59.0,61.3333333333,59.0
2016-12-29 14:50:00+08:00,58.0,58.0,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,53.0,52.0,54.0,57.0,57.0,59.0,58.0,58.0,58.0,59.0,59.0,58.0,55.0,61.5,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,59.0,63.0,59.0,59.0,56.0,58.5,65.0,60.0,58.5,61.0,59.0
2016-12-29 14:55:00+08:00,58.0,58.0,59.0,61.0,61.0,57.0,57.6666666667,57.0,56.0,58.0,57.0,54.0,53.0,52.0,53.6666666667,57.0,56.0,59.0,58.0,58.0,58.0,59.0,59.0,57.6666666667,55.0,61.6666666667,57.0,56.0,56.0,59.3333333333,58.0,58.0,57.0,61.0,59.6666666667,63.0,59.0,59.0,56.3333333333,58.0,65.3333333333,60.0,59.0,61.6666666667,59.0
2016-12-29 15:00:00+08:00,58.0,58.0,59.0,61.0,61.0,57.0,58.0,57.0,56.0,58.5,57.0,54.0,53.0,52.0,54.0,57.0,56.0,59.0,58.0,58.0,58.0,59.0,59.0,57.0,55.0,61.5,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,59.0,63.0,59.0,59.0,56.0,58.0,65.0,60.0,59.0,61.5,59.0
2016-12-29 15:05:00+08:00,58.0,57.3333333333,59.0,61.0,61.0,56.0,58.0,57.0,56.0,58.6666666667,57.0,54.0,53.0,52.3333333333,53.6666666667,57.0,56.3333333333,59.0,58.0,58.0,58.0,58.3333333333,59.0,57.0,55.0,61.3333333333,57.0,56.0,55.6666666667,59.0,58.0,58.0,57.0,60.3333333333,59.0,63.0,59.0,59.0,56.0,58.6666666667,64.6666666667,60.0,59.0,61.0,59.0
2016-12-29 15:10:00+08:00,58.0,58.0,59.0,61.0,61.0,56.0,57.0,57.0,56.0,59.0,57.0,53.5,53.0,52.0,54.0,57.0,56.5,59.0,58.0,58.0,58.0,58.5,59.0,57.0,55.0,61.5,57.0,56.0,55.0,59.0,58.0,58.0,57.0,60.0,59.0,63.0,59.0,59.0,56.0,58.5,65.0,60.0,59.0,62.0,59.0
2016-12-29 15:15:00+08:00,58.0,57.6666666667,59.0,61.0,60.3333333333,56.0,57.0,57.0,56.0,59.0,57.6666666667,53.0,53.0,52.3333333333,54.6666666667,57.0,57.0,58.3333333333,58.0,58.0,58.0,58.6666666667,59.0,57.0,55.0,61.6666666667,57.0,56.0,55.0,59.0,58.0,58.0,57.0,60.0,59.0,63.0,59.0,59.0,56.0,58.0,65.0,60.0,58.6666666667,60.6666666667,59.0
2016-12-29 15:20:00+08:00,58.0,58.0,59.0,61.0,60.0,56.0,57.5,57.0,56.0,59.0,58.0,53.0,53.0,53.0,55.0,57.0,57.0,58.0,58.0,58.0,58.0,59.0,59.0,57.0,55.0,62.0,57.0,56.0,55.0,59.0,57.5,58.0,56.5,60.0,59.0,63.0,59.0,59.0,56.0,58.0,63.5,60.0,58.0,61.5,59.0
2016-12-29 15:25:00+08:00,58.0,58.0,59.0,61.0,60.0,56.0,58.0,57.0,56.0,59.0,57.0,53.0,53.0,53.0,55.0,57.0,57.0,58.0,58.0,58.0,58.0,59.0,59.0,57.0,55.0,61.0,57.0,56.0,55.0,59.0,57.0,58.0,56.0,61.0,59.0,63.0,59.0,59.0,56.0,58.0,65.0,60.0,58.0,61.0,59.0
2016-12-29 15:30:00+08:00,58.0,58.0,59.0,61.0,60.0,56.0,58.0,57.0,56.0,59.0,57.0,53.0,53.0,53.0,55.0,57.0,57.0,58.0,58.0,58.0,58.0,59.0,59.0,57.0,55.0,61.0,57.0,56.0,55.0,59.0,57.0,58.0,56.0,61.0,59.0,63.0,59.0,59.0,56.0,58.0,65.0,60.0,58.0,61.0,59.0
2016-12-29 15:35:00+08:00,58.0,58.0,59.0,61.3333333333,60.0,56.0,57.6666666667,57.0,56.0,59.0,57.6666666667,53.0,53.0,53.0,55.6666666667,57.0,57.0,58.0,58.0,58.0,58.0,58.3333333333,58.3333333333,56.3333333333,54.3333333333,61.6666666667,57.0,55.3333333333,55.0,59.0,57.0,58.0,56.0,60.3333333333,59.0,63.0,58.3333333333,58.3333333333,55.3333333333,58.0,63.3333333333,60.0,58.0,60.6666666667,59.0
2016-12-29 15:40:00+08:00,58.0,58.0,59.0,62.0,60.0,56.0,58.0,57.0,56.0,59.0,58.0,53.0,53.0,53.0,56.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,56.0,54.0,62.0,57.0,55.0,55.0,59.0,57.0,57.0,56.0,60.0,59.0,63.0,58.0,58.0,55.0,58.0,64.0,60.0,58.0,60.0,59.0
2016-12-29 15:45:00+08:00,58.0,58.0,59.0,62.0,60.0,56.0,58.0,57.0,56.0,59.0,58.0,53.0,53.5,53.5,56.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,56.0,54.0,61.5,57.0,55.0,55.0,59.0,57.0,57.5,56.0,60.0,59.0,63.0,58.0,58.0,55.0,58.0,60.5,60.0,58.0,61.0,59.0
2016-12-29 15:50:00+08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-29 15:55:00+08:00,58.0,57.6666666667,59.0,62.0,60.0,56.0,58.0,57.3333333333,56.0,59.0,58.0,53.0,53.3333333333,54.0,56.0,57.0,57.0,58.0,58.0,58.0,57.6666666667,58.0,58.0,56.0,54.0,61.0,57.0,55.0,55.0,59.0,57.0,57.6666666667,56.0,60.0,59.0,63.0,58.3333333333,58.6666666667,55.6666666667,59.0,62.3333333333,60.0,59.0,61.3333333333,59.6666666667
2016-12-29 16:00:00+08:00,58.0,58.5,59.0,62.0,60.0,56.0,58.0,57.5,55.0,59.0,57.0,53.0,54.0,54.0,55.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,56.0,54.0,61.0,57.0,55.0,55.0,59.0,57.0,57.0,56.0,60.0,59.0,63.0,58.5,59.0,56.0,59.0,62.5,60.0,59.0,62.0,60.0
