,B10_Area3for2_A_Ahu1_DOAS_FanSuEh_MdltSu,B10_Area3for2_A_Ahu2_DOAS_FanSuEh_MdltSu,B10_Area3for2_A_Ahu3_DOAS_FanSuEh_MdltSu,B10_Area3for2_A_Ahu4_DOAS_FanSuEh_MdltSu
2016-12-30 18:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 18:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 18:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 18:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 19:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 20:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 21:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 22:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-30 23:40:00+08:00,0.0,0.0,0.0,0.0
