,B10_Area3for2_A_Ahu1_DOAS_FanSuEh_FlSu,B10_Area3for2_A_Ahu2_DOAS_FanSuEh_FlSu,B10_Area3for2_A_Ahu2_FCU_FanRc_FlSu,B10_Area3for2_A_Ahu3_DOAS_FanSuEh_FlSu,B10_Area3for2_A_Ahu4_DOAS_FanSuEh_FlSu
2016-12-30 19:35:00+08:00,0.0,0.0,-0.0500000007451,-0.0333333338301,-0.0266666660706
2016-12-30 19:40:00+08:00,0.0,0.0,-0.050000000745,-0.0500000007451,-0.0399999991059
2016-12-30 19:45:00+08:00,0.0,0.0,-0.0333333338301,-0.0666666676601,-0.0399999991059
2016-12-30 19:50:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0750000011176,-0.0399999991059
2016-12-30 19:55:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0500000007451,-0.0133333330353
2016-12-30 20:00:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-30 20:05:00+08:00,0.0,0.0,-0.016666666915,-0.0666666676601,-0.0399999991059
2016-12-30 20:10:00+08:00,0.0,0.0,0.0,-0.0750000011176,-0.0199999995529
2016-12-30 20:15:00+08:00,0.0,0.0,-0.0333333338301,-0.0500000007451,-0.0399999991059
2016-12-30 20:20:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-30 20:25:00+08:00,-0.0133333330353,0.0,-0.016666666915,-0.083333334575,-0.0266666660706
2016-12-30 20:30:00+08:00,-0.0399999991059,0.0,-0.0250000003725,-0.0750000011176,-0.0399999991059
2016-12-30 20:35:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.10000000149,-0.0266666660706
2016-12-30 20:40:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.10000000149,-0.0399999991059
2016-12-30 20:45:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0666666676601,-0.0399999991059
2016-12-30 20:50:00+08:00,0.0,0.0,-0.0250000003725,-0.0500000007451,-0.0199999995529
2016-12-30 20:55:00+08:00,-0.0266666660706,0.0,0.0,-0.10000000149,-0.0399999991059
2016-12-30 21:00:00+08:00,-0.0199999995529,0.0,-0.0250000003725,-0.0750000011176,-0.0199999995529
2016-12-30 21:05:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.083333334575,-0.0266666660706
2016-12-30 21:10:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-30 21:15:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-30 21:20:00+08:00,0.0,0.0,-0.0250000003725,-0.0750000011176,-0.0199999995529
2016-12-30 21:25:00+08:00,-0.0266666660706,0.0,-0.0500000007451,-0.0500000007451,-0.0133333330353
2016-12-30 21:30:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0750000011176,-0.0399999991059
2016-12-30 21:35:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0500000007451,-0.0133333330353
2016-12-30 21:40:00+08:00,-0.0199999995529,0.0,0.0,-0.0500000007451,-0.0399999991059
2016-12-30 21:45:00+08:00,-0.0133333330353,0.0,-0.016666666915,-0.0500000007451,-0.0133333330353
2016-12-30 21:50:00+08:00,-0.0199999995529,0.0,0.0,-0.0750000011176,-0.0199999995529
2016-12-30 21:55:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0666666676601,-0.0399999991059
2016-12-30 22:00:00+08:00,-0.0399999991059,0.0,0.0,-0.0500000007451,-0.0199999995529
2016-12-30 22:05:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-30 22:10:00+08:00,-0.0399999991059,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-30 22:15:00+08:00,-0.0399999991059,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-30 22:20:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-30 22:25:00+08:00,-0.0133333330353,0.0,-0.016666666915,-0.0500000007451,-0.0266666660706
2016-12-30 22:30:00+08:00,0.0,0.0,-0.0250000003725,-0.0500000007451,-0.0399999991059
2016-12-30 22:35:00+08:00,0.0,0.0,-0.0333333338301,-0.0500000007451,-0.0399999991059
2016-12-30 22:40:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-30 22:45:00+08:00,-0.0266666660706,0.0,-0.016666666915,-0.0666666676601,-0.0266666660706
2016-12-30 22:50:00+08:00,-0.0199999995529,0.0,-0.0250000003725,-0.0500000007451,-0.0399999991059
2016-12-30 22:55:00+08:00,-0.0266666660706,0.0,-0.0500000007451,-0.0666666676601,-0.0266666660706
2016-12-30 23:00:00+08:00,-0.0399999991059,0.0,0.0,-0.0500000007451,-0.0399999991059
2016-12-30 23:05:00+08:00,-0.0133333330353,0.0,-0.016666666915,-0.0500000007451,-0.0266666660706
2016-12-30 23:10:00+08:00,-0.0399999991059,0.0,-0.0500000007451,-0.0500000007451,0.0
2016-12-30 23:15:00+08:00,-0.0133333330353,0.0,-0.016666666915,-0.0500000007451,-0.0266666660706
2016-12-30 23:20:00+08:00,0.0,0.0,0.0,-0.0500000007451,-0.0399999991059
2016-12-30 23:25:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-30 23:30:00+08:00,-0.0399999991059,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-30 23:35:00+08:00,-0.0266666660706,0.0,-0.0333333338301,-0.0500000007451,-0.0266666660706
2016-12-30 23:40:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-30 23:45:00+08:00,0.0,0.0,-0.0333333338301,-0.0500000007451,-0.0133333330353
2016-12-30 23:50:00+08:00,-0.0199999995529,0.0,-0.0250000003725,-0.0750000011176,-0.0199999995529
2016-12-30 23:55:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0500000007451,-0.0133333330353
2016-12-31 00:00:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 00:05:00+08:00,-0.0133333330353,0.0,-0.0666666676601,-0.0666666676601,-0.0266666660706
2016-12-31 00:10:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 00:15:00+08:00,-0.0133333330353,0.0,-0.016666666915,-0.0666666676601,0.0
2016-12-31 00:20:00+08:00,0.0,0.0,-0.0250000003725,-0.0500000007451,-0.0199999995529
2016-12-31 00:25:00+08:00,0.0,0.0,0.0,-0.0666666676601,-0.0133333330353
2016-12-31 00:30:00+08:00,-0.0199999995529,0.0,-0.0250000003725,-0.0500000007451,-0.0399999991059
2016-12-31 00:35:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0666666676601,-0.0399999991059
2016-12-31 00:40:00+08:00,-0.0199999995529,0.0,0.0,-0.0500000007451,-0.0199999995529
2016-12-31 00:45:00+08:00,-0.0266666660706,0.0,-0.050000000745,-0.0500000007451,0.0
2016-12-31 00:50:00+08:00,0.0,0.0,0.0,-0.0500000007451,0.0
2016-12-31 00:55:00+08:00,0.0,0.0,-0.0333333338301,-0.0500000007451,0.0
2016-12-31 01:00:00+08:00,-0.0399999991059,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-31 01:05:00+08:00,0.0,0.0,-0.016666666915,-0.0666666676601,-0.0399999991059
2016-12-31 01:10:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-31 01:15:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-31 01:20:00+08:00,0.0,0.0,-0.0250000003725,-0.0750000011176,-0.0199999995529
2016-12-31 01:25:00+08:00,0.0,0.0,-0.0500000007451,-0.083333334575,-0.0399999991059
2016-12-31 01:30:00+08:00,0.0,0.0,-0.0750000011176,-0.0250000003725,-0.0199999995529
2016-12-31 01:35:00+08:00,0.0,0.0,-0.0333333338301,-0.050000000745,-0.0266666660706
2016-12-31 01:40:00+08:00,-0.0199999995529,0.0,-0.050000000745,-0.0750000011176,0.0
2016-12-31 01:45:00+08:00,-0.0133333330353,0.0,-0.0666666676601,-0.0666666676601,-0.0266666660706
2016-12-31 01:50:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0500000007451,0.0
2016-12-31 01:55:00+08:00,0.0,0.0,-0.0666666676601,-0.083333334575,-0.0399999991059
2016-12-31 02:00:00+08:00,0.0,0.0,-0.0500000007451,-0.050000000745,-0.0199999995529
2016-12-31 02:05:00+08:00,0.0,0.0,-0.0333333338301,-0.083333334575,-0.0133333330353
2016-12-31 02:10:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.0199999995529
2016-12-31 02:15:00+08:00,0.0,0.0,-0.0500000007451,-0.050000000745,-0.0399999991059
2016-12-31 02:20:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0750000011176,-0.0199999995529
2016-12-31 02:25:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0666666676601,-0.0133333330353
2016-12-31 02:30:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 02:35:00+08:00,0.0,0.0,-0.016666666915,-0.0666666676601,-0.0266666660706
2016-12-31 02:40:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.0199999995529
2016-12-31 02:45:00+08:00,-0.0133333330353,0.0,-0.083333334575,-0.10000000149,-0.0266666660706
2016-12-31 02:50:00+08:00,-0.0199999995529,0.0,-0.0250000003725,-0.0750000011176,0.0
2016-12-31 02:55:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0500000007451,-0.0399999991059
2016-12-31 03:00:00+08:00,0.0,0.0,-0.0250000003725,-0.10000000149,-0.0199999995529
2016-12-31 03:05:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.083333334575,0.0
2016-12-31 03:10:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0750000011176,-0.0199999995529
2016-12-31 03:15:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.10000000149,-0.0266666660706
2016-12-31 03:20:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.039999999106
2016-12-31 03:25:00+08:00,0.0,0.0,-0.0333333338301,-0.0666666676601,0.0
2016-12-31 03:30:00+08:00,-0.0199999995529,0.0,-0.0250000003725,-0.0250000003725,-0.0399999991059
2016-12-31 03:35:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.0666666676601,-0.0399999991059
2016-12-31 03:40:00+08:00,0.0,0.0,-0.0500000007451,-0.10000000149,-0.0399999991059
2016-12-31 03:45:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.083333334575,-0.0399999991059
2016-12-31 03:50:00+08:00,0.0,0.0,-0.0250000003725,-0.0500000007451,-0.0399999991059
2016-12-31 03:55:00+08:00,-0.0266666660706,0.0,-0.016666666915,-0.0500000007451,-0.0399999991059
2016-12-31 04:00:00+08:00,0.0,0.0,-0.0250000003725,-0.0750000011176,-0.0199999995529
2016-12-31 04:05:00+08:00,0.0,0.0,-0.0500000007451,-0.0666666676601,-0.0399999991059
2016-12-31 04:10:00+08:00,0.0,0.0,-0.0500000007451,-0.0250000003725,-0.0199999995529
2016-12-31 04:15:00+08:00,0.0,0.0,-0.0500000007451,-0.0666666676601,-0.0399999991059
2016-12-31 04:20:00+08:00,0.0,0.0,-0.0250000003725,-0.0250000003725,-0.0399999991059
2016-12-31 04:25:00+08:00,0.0,0.0,-0.016666666915,-0.10000000149,-0.0399999991059
2016-12-31 04:30:00+08:00,0.0,0.0,-0.0250000003725,-0.10000000149,-0.0199999995529
2016-12-31 04:35:00+08:00,0.0,0.0,-0.0500000007451,-0.0666666676601,-0.0133333330353
2016-12-31 04:40:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.0199999995529
2016-12-31 04:45:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.0666666676601,-0.0133333330353
2016-12-31 04:50:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 04:55:00+08:00,-0.0133333330353,0.0,-0.0333333338301,-0.083333334575,-0.0133333330353
2016-12-31 05:00:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0199999995529
2016-12-31 05:05:00+08:00,-0.0133333330353,0.0,-0.0500000007451,-0.083333334575,-0.0399999991059
2016-12-31 05:10:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.0599999986589
2016-12-31 05:15:00+08:00,0.0,0.0,-0.0500000007451,-0.0666666676601,-0.0399999991059
2016-12-31 05:20:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-31 05:25:00+08:00,0.0,0.0,-0.0333333338301,-0.0666666676601,-0.0133333330353
2016-12-31 05:30:00+08:00,0.0,0.0,-0.0500000007451,-0.10000000149,-0.0399999991059
2016-12-31 05:35:00+08:00,0.0,0.0,-0.050000000745,-0.0666666676601,-0.0133333330353
2016-12-31 05:40:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-31 05:45:00+08:00,0.0,0.0,-0.0333333338301,-0.0500000007451,-0.0266666660706
2016-12-31 05:50:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-31 05:55:00+08:00,0.0,0.0,-0.0500000007451,-0.0500000007451,-0.0399999991059
2016-12-31 06:00:00+08:00,-0.0199999995529,0.0,-0.0500000007451,-0.0750000011176,-0.0399999991059
2016-12-31 06:05:00+08:00,0.0,0.0,-0.0500000007451,-0.10000000149,-0.0399999991059
2016-12-31 06:10:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.0399999991059
2016-12-31 06:15:00+08:00,0.0,0.0,-0.0333333338301,-0.0333333338301,-0.0133333330353
2016-12-31 06:20:00+08:00,0.0,0.0,-0.0500000007451,-0.0750000011176,-0.0399999991059
2016-12-31 06:25:00+08:00,0.0,0.0,-0.0500000007451,-0.083333334575,-0.0266666660706
2016-12-31 06:30:00+08:00,0.0,0.0,-0.0500000007451,-0.10000000149,-0.0199999995529
2016-12-31 06:35:00+08:00,0.0,0.0,-0.0500000007451,-0.083333334575,-0.0266666660706
