,DOAS1,DOAS3,DOAS4
2017-02-12 06:10:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 06:15:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-12 06:20:00,-0.0399999991059,-0.0500000007451,0.0
2017-02-12 06:25:00,0.0,-0.0666666676601,-0.0266666660706
2017-02-12 06:30:00,-0.0199999995529,-0.0750000011176,-0.0599999986589
2017-02-12 06:35:00,-0.0133333330353,-0.0500000007451,-0.0399999991059
2017-02-12 06:40:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 06:45:00,-0.0133333330353,-0.0666666676601,-0.0399999991059
2017-02-12 06:50:00,0.0,-0.0750000011176,-0.0199999995529
2017-02-12 06:55:00,-0.0133333330353,-0.0333333338301,-0.0266666660706
2017-02-12 07:00:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 07:05:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-12 07:10:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 07:15:00,-0.0133333330353,-0.0666666676601,-0.0266666660706
2017-02-12 07:20:00,0.0,-0.10000000149,-0.0199999995529
2017-02-12 07:25:00,0.0,-0.0666666676601,-0.0399999991059
2017-02-12 07:30:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 07:35:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-12 07:40:00,0.0,-0.0750000011176,-0.0199999995529
2017-02-12 07:45:00,-0.0133333330353,-0.083333334575,-0.0266666660706
2017-02-12 07:50:00,-0.0199999995529,-0.0750000011176,-0.0199999995529
2017-02-12 07:55:00,-0.0399999991059,-0.0500000007451,-0.0266666660706
2017-02-12 08:00:00,-0.0199999995529,-0.0750000011176,-0.0199999995529
2017-02-12 08:05:00,0.0,-0.083333334575,-0.0533333321412
2017-02-12 08:10:00,0.0,-0.10000000149,0.0
2017-02-12 08:15:00,0.0,-0.083333334575,-0.0133333330353
2017-02-12 08:20:00,-0.0199999995529,-0.0500000007451,0.0
2017-02-12 08:25:00,-0.0133333330353,-0.0500000007451,-0.0266666660706
2017-02-12 08:30:00,-0.0399999991059,-0.0500000007451,-0.0199999995529
2017-02-12 08:35:00,-0.0266666660706,-0.0666666676601,-0.0399999991059
2017-02-12 08:40:00,-0.0199999995529,-0.0750000011176,-0.0199999995529
2017-02-12 08:45:00,-0.0266666660706,-0.083333334575,-0.0399999991059
2017-02-12 08:50:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 08:55:00,-0.0266666660706,-0.0500000007451,-0.0399999991059
2017-02-12 09:00:00,-0.0399999991059,-0.0250000003725,-0.0399999991059
2017-02-12 09:05:00,-0.0133333330353,-0.0500000007451,-0.0266666660706
2017-02-12 09:10:00,0.0,-0.0750000011176,-0.0199999995529
2017-02-12 09:15:00,0.0,-0.0666666676601,-0.0266666660706
2017-02-12 09:20:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 09:25:00,0.0,-0.083333334575,-0.0133333330353
2017-02-12 09:30:00,-0.0199999995529,-0.10000000149,-0.0399999991059
2017-02-12 09:35:00,0.0,-0.0500000007451,-0.0533333321412
2017-02-12 09:40:00,0.0,-0.0750000011176,-0.0199999995529
2017-02-12 09:45:00,-0.0133333330353,-0.0500000007451,-0.0133333330353
2017-02-12 09:50:00,-0.0399999991059,-0.0500000007451,-0.0399999991059
2017-02-12 09:55:00,-0.0133333330353,-0.0500000007451,-0.0399999991059
2017-02-12 10:00:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 10:05:00,-0.0133333330353,-0.0500000007451,-0.0266666660706
2017-02-12 10:10:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 10:15:00,-0.0266666660706,-0.0500000007451,-0.0399999991059
2017-02-12 10:20:00,-0.0199999995529,-0.0500000007451,-0.0199999995529
2017-02-12 10:25:00,-0.0266666660706,-0.0666666676601,-0.0399999991059
2017-02-12 10:30:00,0.0,-0.0500000007451,-0.0199999995529
2017-02-12 10:35:00,0.0,-0.083333334575,-0.0399999991059
2017-02-12 10:40:00,0.0,-0.0250000003725,-0.0199999995529
2017-02-12 10:45:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-12 10:50:00,0.0,-0.10000000149,-0.0399999991059
2017-02-12 10:55:00,-0.0399999991059,-0.0500000007451,-0.0399999991059
2017-02-12 11:00:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 11:05:00,0.0,-0.10000000149,-0.0399999991059
2017-02-12 11:10:00,0.0,-0.0666666676601,-0.0266666660706
2017-02-12 11:15:00,-0.0133333330353,-0.0666666676601,-0.0266666660706
2017-02-12 11:20:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 11:25:00,-0.0266666660706,-0.0666666676601,-0.0266666660706
2017-02-12 11:30:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 11:35:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 11:40:00,-0.0399999991059,-0.0500000007451,-0.0199999995529
2017-02-12 11:45:00,-0.0133333330353,-0.0666666676601,-0.0266666660706
2017-02-12 11:50:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 11:55:00,-0.0266666660706,-0.0500000007451,-0.0399999991059
2017-02-12 12:00:00,-0.0199999995529,-0.0500000007451,-0.0399999991059
2017-02-12 12:05:00,-0.0133333330353,-0.0500000007451,-0.0266666660706
2017-02-12 12:10:00,-0.0199999995529,-0.10000000149,-0.0199999995529
2017-02-12 12:15:00,-0.0133333330353,-0.0666666676601,-0.0399999991059
2017-02-12 12:20:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 12:25:00,0.0,-0.0666666676601,-0.0133333330353
2017-02-12 12:30:00,0.299999982118,-0.0750000011176,-0.0399999991059
2017-02-12 12:35:00,-0.0266666660706,-0.0500000007451,-0.0266666660706
2017-02-12 12:40:00,0.0,-0.050000000745,-0.0399999991059
2017-02-12 12:45:00,-0.0133333330353,-0.0666666676601,-0.0399999991059
2017-02-12 12:50:00,-0.0399999991059,-0.10000000149,-0.0399999991059
2017-02-12 12:55:00,0.119999994834,-0.083333334575,-0.0399999991059
2017-02-12 13:00:00,0.140000000596,-0.0500000007451,-0.0599999986589
2017-02-12 13:05:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-12 13:10:00,-0.0399999991059,-0.0500000007451,-0.0399999991059
2017-02-12 13:15:00,-0.0133333330353,-0.0500000007451,-0.0399999991059
2017-02-12 13:20:00,-0.0199999995529,-0.10000000149,-0.0199999995529
2017-02-12 13:25:00,0.0266666660706,-0.0500000007451,-0.0266666660706
2017-02-12 13:30:00,-0.0199999995529,-0.0750000011176,-0.0199999995529
2017-02-12 13:35:00,-0.0266666660706,-0.0666666676601,-0.0399999991059
2017-02-12 13:40:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 13:45:00,-0.0133333330353,-0.0500000007451,-0.0266666660706
2017-02-12 13:50:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 13:55:00,-0.0266666660706,-0.0500000007451,-0.0266666660706
2017-02-12 14:00:00,-0.0199999995529,-0.0500000007451,-0.0199999995529
2017-02-12 14:05:00,-0.0266666660706,-0.0666666676601,-0.0399999991059
2017-02-12 14:10:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 14:15:00,0.0,-0.0500000007451,0.0
2017-02-12 14:20:00,-0.0399999991059,-0.0500000007451,-0.0399999991059
2017-02-12 14:25:00,-0.0133333330353,-0.0500000007451,-0.0399999991059
2017-02-12 14:30:00,-0.0399999991059,-0.0500000007451,-0.0399999991059
2017-02-12 14:35:00,0.0,-0.0666666676601,-0.0399999991059
2017-02-12 14:40:00,0.0,-0.0750000011176,-0.0199999995529
2017-02-12 14:45:00,0.0,-0.0666666676601,-0.0266666660706
2017-02-12 14:50:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 14:55:00,0.0,-0.0666666676601,-0.0266666660706
2017-02-12 15:00:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 15:05:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 15:10:00,0.079999998212,-0.0250000003725,-0.0399999991059
2017-02-12 15:15:00,-0.0266666660706,-0.0666666676601,-0.0266666660706
2017-02-12 15:20:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 15:25:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 15:25:00,-0.0399999991059,-0.0500000007451,-0.0399999991059
2017-02-12 15:30:00,-0.0399999991059,-0.0250000003725,-0.0399999991059
2017-02-12 15:35:00,-0.0133333330353,-0.0666666676601,-0.0266666660706
2017-02-12 15:40:00,0.0,-0.050000000745,-0.0399999991059
2017-02-12 15:45:00,-0.0133333330353,-0.0500000007451,-0.0399999991059
2017-02-12 15:50:00,-0.0199999995529,-0.0500000007451,-0.0199999995529
2017-02-12 15:55:00,0.0,-0.0500000007451,-0.0266666660706
2017-02-12 16:00:00,0.0,-0.0500000007451,-0.0399999991059
2017-02-12 16:05:00,0.0,-0.0333333338301,-0.0399999991059
2017-02-12 16:10:00,0.0,-0.0750000011176,0.0
2017-02-12 16:15:00,0.0,-0.0666666676601,-0.0399999991059
2017-02-12 16:20:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 16:25:00,0.0,-0.083333334575,-0.0266666660706
2017-02-12 16:30:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 16:35:00,0.0,-0.0666666676601,-0.0399999991059
2017-02-12 16:40:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
2017-02-12 16:45:00,0.0,-0.0500000007451,-0.0266666660706
2017-02-12 16:50:00,-0.0199999995529,-0.0750000011176,0.0
2017-02-12 16:55:00,-0.0133333330353,-0.10000000149,-0.0399999991059
2017-02-12 17:00:00,0.0,-0.0750000011176,-0.0399999991059
2017-02-12 17:05:00,0.0,-0.083333334575,-0.0133333330353
2017-02-12 17:10:00,-0.0199999995529,-0.0750000011176,-0.0199999995529
2017-02-12 17:15:00,-0.0133333330353,-0.0333333338301,-0.0133333330353
2017-02-12 17:20:00,-0.0199999995529,-0.10000000149,-0.0399999991059
2017-02-12 17:25:00,-0.0133333330353,-0.083333334575,-0.0399999991059
2017-02-12 17:30:00,-0.0399999991059,-0.0500000007451,-0.0399999991059
2017-02-12 17:35:00,0.0,-0.0500000007451,-0.0133333330353
2017-02-12 17:40:00,-0.0199999995529,-0.0750000011176,-0.0399999991059
