,Zones,Value,Occupancy Type,Unit
99,Zone 3,14.600728,Working Hours,Particles [micrograms/m3]
100,Zone 3,13.864724,Working Hours,Particles [micrograms/m3]
101,Zone 3,13.904508,Working Hours,Particles [micrograms/m3]
102,Zone 3,14.242672,Working Hours,Particles [micrograms/m3]
103,Zone 3,13.904508,Working Hours,Particles [micrograms/m3]
104,Zone 3,14.22278,Working Hours,Particles [micrograms/m3]
105,Zone 3,13.586236,Working Hours,Particles [micrograms/m3]
106,Zone 3,13.785156,Working Hours,Particles [micrograms/m3]
107,Zone 3,13.506668,Working Hours,Particles [micrograms/m3]
108,Zone 3,13.387316,Working Hours,Particles [micrograms/m3]
109,Zone 3,13.347532,Working Hours,Particles [micrograms/m3]
110,Zone 3,13.466884,Working Hours,Particles [micrograms/m3]
111,Zone 3,13.705588,Working Hours,Particles [micrograms/m3]
112,Zone 3,13.367424,Working Hours,Particles [micrograms/m3]
113,Zone 3,14.282456,Working Hours,Particles [micrograms/m3]
114,Zone 3,13.148612,Working Hours,Particles [micrograms/m3]
115,Zone 3,14.600728,Working Hours,Particles [micrograms/m3]
116,Zone 3,14.02386,Working Hours,Particles [micrograms/m3]
117,Zone 3,13.72548,Working Hours,Particles [micrograms/m3]
118,Zone 3,13.168504,Working Hours,Particles [micrograms/m3]
119,Zone 3,14.302348,Working Hours,Particles [micrograms/m3]
120,Zone 3,15.177596,Working Hours,Particles [micrograms/m3]
121,Zone 3,14.680296,Working Hours,Particles [micrograms/m3]
122,Zone 3,15.356624,Working Hours,Particles [micrograms/m3]
123,Zone 3,14.103428,Working Hours,Particles [micrograms/m3]
124,Zone 3,13.884616,Working Hours,Particles [micrograms/m3]
125,Zone 3,16.172196,Working Hours,Particles [micrograms/m3]
126,Zone 3,13.02926,Working Hours,Particles [micrograms/m3]
127,Zone 3,14.541052,Working Hours,Particles [micrograms/m3]
128,Zone 3,13.844832,Working Hours,Particles [micrograms/m3]
129,Zone 3,14.063644,Working Hours,Particles [micrograms/m3]
130,Zone 3,16.749064,Working Hours,Particles [micrograms/m3]
131,Zone 3,14.839432,Working Hours,Particles [micrograms/m3]
132,Zone 3,15.078136,Working Hours,Particles [micrograms/m3]
133,Zone 3,22.000552,Working Hours,Particles [micrograms/m3]
134,Zone 3,14.242672,Working Hours,Particles [micrograms/m3]
135,Zone 3,15.694788,Working Hours,Particles [micrograms/m3]
136,Zone 3,15.834032,Working Hours,Particles [micrograms/m3]
137,Zone 3,14.919,Working Hours,Particles [micrograms/m3]
138,Zone 3,15.81414,Working Hours,Particles [micrograms/m3]
139,Zone 3,22.358608,Working Hours,Particles [micrograms/m3]
140,Zone 3,16.231872,Working Hours,Particles [micrograms/m3]
141,Zone 3,15.694788,Working Hours,Particles [micrograms/m3]
142,Zone 3,14.660404,Working Hours,Particles [micrograms/m3]
143,Zone 3,15.356624,Working Hours,Particles [micrograms/m3]
144,Zone 3,16.371116,Working Hours,Particles [micrograms/m3]
145,Zone 3,15.575436,Working Hours,Particles [micrograms/m3]
146,Zone 3,17.166796,Working Hours,Particles [micrograms/m3]
147,Zone 3,15.754464,Working Hours,Particles [micrograms/m3]
148,Zone 3,17.30604,Working Hours,Particles [micrograms/m3]
149,Zone 3,17.325932,Working Hours,Particles [micrograms/m3]
150,Zone 3,18.79794,Working Hours,Particles [micrograms/m3]
151,Zone 3,18.240964,Working Hours,Particles [micrograms/m3]
152,Zone 3,17.226472,Working Hours,Particles [micrograms/m3]
153,Zone 3,17.922692,Working Hours,Particles [micrograms/m3]
154,Zone 3,18.976968,Working Hours,Particles [micrograms/m3]
155,Zone 3,19.374808,Working Hours,Particles [micrograms/m3]
156,Zone 3,16.490468,Working Hours,Particles [micrograms/m3]
157,Zone 3,17.30604,Working Hours,Particles [micrograms/m3]
158,Zone 3,17.445284,Working Hours,Particles [micrograms/m3]
159,Zone 3,21.045736,Working Hours,Particles [micrograms/m3]
160,Zone 3,24.606404,Working Hours,Particles [micrograms/m3]
161,Zone 3,18.678588,Working Hours,Particles [micrograms/m3]
162,Zone 3,20.568328,Working Hours,Particles [micrograms/m3]
163,Zone 3,20.110812,Working Hours,Particles [micrograms/m3]
164,Zone 3,18.857616,Working Hours,Particles [micrograms/m3]
165,Zone 3,20.051136,Working Hours,Particles [micrograms/m3]
