Location,DOAS1,DOAS3,DOAS4
2017-02-12 00:00:00,601.5,490.0,340.200012207
2017-02-12 00:05:00,603.933349609,493.333333333,344.199991862
2017-02-12 00:10:00,603.100006103,494.0,341.799987793
2017-02-12 00:15:00,602.666666667,494.466674805,339.000020345
2017-02-12 00:20:00,603.600006103,495.0,338.600036621
2017-02-12 00:25:00,602.0,496.333374023,339.600036621
2017-02-12 00:30:00,605.899993897,495.800048828,341.600036621
2017-02-12 00:35:00,604.800008138,494.400024414,342.266703288
2017-02-12 00:40:00,603.100006103,493.100036621,340.200012207
2017-02-12 00:45:00,604.666666667,493.333333333,339.933369954
2017-02-12 00:50:00,604.5,492.0,339.200012207
2017-02-12 00:55:00,606.0,492.933349609,342.333353678
2017-02-12 01:00:00,606.100006103,491.400024414,341.200012207
2017-02-12 01:05:00,605.666666667,491.333333333,340.666666667
2017-02-12 01:10:00,604.600006103,489.0,338.600036621
2017-02-12 01:15:00,605.466674805,492.666666667,340.933369954
2017-02-12 01:20:00,604.600006103,492.100036621,341.700012207
2017-02-12 01:25:00,604.133341471,492.333333333,342.000020345
2017-02-12 01:30:00,603.800018311,489.5,341.100036621
2017-02-12 01:35:00,602.333333333,488.933349609,342.400004069
2017-02-12 01:40:00,603.0,491.0,339.600036621
2017-02-12 01:45:00,604.266662598,493.066691081,340.000020345
2017-02-12 01:50:00,604.399993897,491.5,338.100036621
2017-02-12 01:55:00,604.666666667,493.0,337.266703288
2017-02-12 02:00:00,603.200012207,491.600036621,338.600036621
2017-02-12 02:05:00,603.666666667,491.666666667,339.933369954
2017-02-12 02:10:00,603.5,492.0,339.600036621
2017-02-12 02:15:00,602.333333333,491.333333333,341.400004069
2017-02-12 02:20:00,604.800018311,491.5,340.600036621
2017-02-12 02:25:00,604.066670736,490.666666667,341.666687012
2017-02-12 02:30:00,604.5,490.0,341.700012207
2017-02-12 02:35:00,605.0,489.333374023,338.933369954
2017-02-12 02:40:00,604.800018311,491.100036621,338.600036621
2017-02-12 02:45:00,604.333333333,490.066691081,338.266703288
2017-02-12 02:50:00,602.899993897,490.600036621,338.100036621
2017-02-12 02:55:00,604.599995931,490.266682943,339.933369954
2017-02-12 03:00:00,603.0,488.5,337.600036621
2017-02-12 03:05:00,602.666666667,490.733357747,339.600036621
2017-02-12 03:10:00,603.100006103,489.5,340.600036621
2017-02-12 03:15:00,602.333333333,489.400024414,341.266703288
2017-02-12 03:20:00,603.0,490.0,339.600036621
2017-02-12 03:25:00,603.666666667,490.0,339.666687012
2017-02-12 03:30:00,602.5,491.5,338.100036621
2017-02-12 03:35:00,603.0,488.0,336.600036621
2017-02-12 03:40:00,603.5,490.5,336.600036621
2017-02-12 03:45:00,603.0,492.133382161,335.400004069
2017-02-12 03:50:00,605.5,491.100036621,339.799987793
2017-02-12 03:55:00,603.733337402,490.0,340.333353678
2017-02-12 04:00:00,604.600006103,488.900024414,337.600036621
2017-02-12 04:05:00,604.400004069,488.333333333,335.266682943
2017-02-12 04:10:00,603.0,488.0,337.600036621
2017-02-12 04:15:00,603.0,489.0,337.600036621
2017-02-12 04:20:00,605.0,488.0,335.600036621
2017-02-12 04:25:00,604.733337402,488.0,336.933369954
2017-02-12 04:30:00,604.600006103,487.5,337.600036621
2017-02-12 04:35:00,604.400004069,488.666666667,337.933369954
2017-02-12 04:40:00,604.600006103,487.5,338.600036621
2017-02-12 04:45:00,606.066670736,489.333333333,339.066691081
2017-02-12 04:50:00,605.600006103,488.0,337.600036621
2017-02-12 04:55:00,604.400004069,488.266682943,336.600036621
2017-02-12 05:00:00,605.5,488.0,336.000030518
2017-02-12 05:05:00,605.599995931,488.0,337.933369954
2017-02-12 05:10:00,605.5,488.600036621,337.800018311
