,Zones,Value,Occupancy Type,Unit
201,Zone 3,598.253296,Non-working Hours,VOC [ppb]
198,Zone 3,,Non-working Hours,VOC [ppb]
197,Zone 3,593.886475,Non-working Hours,VOC [ppb]
196,Zone 3,,Non-working Hours,VOC [ppb]
195,Zone 3,,Non-working Hours,VOC [ppb]
194,Zone 3,,Non-working Hours,VOC [ppb]
193,Zone 3,,Non-working Hours,VOC [ppb]
192,Zone 3,,Non-working Hours,VOC [ppb]
191,Zone 3,,Non-working Hours,VOC [ppb]
190,Zone 3,,Non-working Hours,VOC [ppb]
152,Zone 3,606.113525,Non-working Hours,VOC [ppb]
189,Zone 3,,Non-working Hours,VOC [ppb]
187,Zone 3,,Non-working Hours,VOC [ppb]
186,Zone 3,,Non-working Hours,VOC [ppb]
185,Zone 3,,Non-working Hours,VOC [ppb]
184,Zone 3,,Non-working Hours,VOC [ppb]
183,Zone 3,,Non-working Hours,VOC [ppb]
182,Zone 3,,Non-working Hours,VOC [ppb]
181,Zone 3,,Non-working Hours,VOC [ppb]
180,Zone 3,,Non-working Hours,VOC [ppb]
179,Zone 3,,Non-working Hours,VOC [ppb]
178,Zone 3,,Non-working Hours,VOC [ppb]
199,Zone 3,,Non-working Hours,VOC [ppb]
188,Zone 3,,Non-working Hours,VOC [ppb]
177,Zone 3,,Non-working Hours,VOC [ppb]
175,Zone 3,,Non-working Hours,VOC [ppb]
172,Zone 3,,Non-working Hours,VOC [ppb]
171,Zone 3,,Non-working Hours,VOC [ppb]
170,Zone 3,,Non-working Hours,VOC [ppb]
169,Zone 3,,Non-working Hours,VOC [ppb]
168,Zone 3,,Non-working Hours,VOC [ppb]
167,Zone 3,,Non-working Hours,VOC [ppb]
166,Zone 3,,Non-working Hours,VOC [ppb]
165,Zone 3,,Non-working Hours,VOC [ppb]
164,Zone 3,,Non-working Hours,VOC [ppb]
163,Zone 3,,Non-working Hours,VOC [ppb]
162,Zone 3,,Non-working Hours,VOC [ppb]
161,Zone 3,,Non-working Hours,VOC [ppb]
160,Zone 3,,Non-working Hours,VOC [ppb]
159,Zone 3,,Non-working Hours,VOC [ppb]
158,Zone 3,,Non-working Hours,VOC [ppb]
157,Zone 3,,Non-working Hours,VOC [ppb]
156,Zone 3,,Non-working Hours,VOC [ppb]
155,Zone 3,,Non-working Hours,VOC [ppb]
154,Zone 3,,Non-working Hours,VOC [ppb]
153,Zone 3,,Non-working Hours,VOC [ppb]
99,Zone 3,562.008728,Working Hours,VOC [ppb]
176,Zone 3,,Non-working Hours,VOC [ppb]
173,Zone 3,,Non-working Hours,VOC [ppb]
151,Zone 3,,Non-working Hours,VOC [ppb]
149,Zone 3,,Non-working Hours,VOC [ppb]
148,Zone 3,,Non-working Hours,VOC [ppb]
126,Zone 3,567.685608,Non-working Hours,VOC [ppb]
146,Zone 3,,Non-working Hours,VOC [ppb]
145,Zone 3,,Non-working Hours,VOC [ppb]
144,Zone 3,,Non-working Hours,VOC [ppb]
143,Zone 3,,Non-working Hours,VOC [ppb]
142,Zone 3,,Non-working Hours,VOC [ppb]
140,Zone 3,,Non-working Hours,VOC [ppb]
139,Zone 3,,Non-working Hours,VOC [ppb]
138,Zone 3,,Non-working Hours,VOC [ppb]
137,Zone 3,540.029134,Non-working Hours,VOC [ppb]
141,Zone 3,,Non-working Hours,VOC [ppb]
128,Zone 3,565.938843,Non-working Hours,VOC [ppb]
135,Zone 3,,Non-working Hours,VOC [ppb]
134,Zone 3,546.724854,Non-working Hours,VOC [ppb]
133,Zone 3,550.218323,Non-working Hours,VOC [ppb]
132,Zone 3,554.585144,Non-working Hours,VOC [ppb]
131,Zone 3,558.951965,Non-working Hours,VOC [ppb]
130,Zone 3,563.318787,Non-working Hours,VOC [ppb]
129,Zone 3,,Non-working Hours,VOC [ppb]
136,Zone 3,,Non-working Hours,VOC [ppb]
147,Zone 3,,Non-working Hours,VOC [ppb]
174,Zone 3,,Non-working Hours,VOC [ppb]
115,Zone 3,650.655029,Non-working Hours,VOC [ppb]
124,Zone 3,,Non-working Hours,VOC [ppb]
123,Zone 3,590.392944,Non-working Hours,VOC [ppb]
122,Zone 3,594.759827,Non-working Hours,VOC [ppb]
121,Zone 3,602.620117,Non-working Hours,VOC [ppb]
120,Zone 3,,Non-working Hours,VOC [ppb]
119,Zone 3,,Non-working Hours,VOC [ppb]
118,Zone 3,624.454163,Non-working Hours,VOC [ppb]
117,Zone 3,,Non-working Hours,VOC [ppb]
116,Zone 3,634.934448,Non-working Hours,VOC [ppb]
114,Zone 3,659.388672,Non-working Hours,VOC [ppb]
113,Zone 3,659.388672,Non-working Hours,VOC [ppb]
112,Zone 3,659.388672,Non-working Hours,VOC [ppb]
111,Zone 3,659.388672,Non-working Hours,VOC [ppb]
110,Zone 3,658.9519655,Non-working Hours,VOC [ppb]
109,Zone 3,,Non-working Hours,VOC [ppb]
108,Zone 3,,Non-working Hours,VOC [ppb]
107,Zone 3,,Non-working Hours,VOC [ppb]
106,Zone 3,658.515259,Non-working Hours,VOC [ppb]
105,Zone 3,658.515259,Non-working Hours,VOC [ppb]
104,Zone 3,658.078583,Non-working Hours,VOC [ppb]
103,Zone 3,658.515259,Non-working Hours,VOC [ppb]
150,Zone 3,,Non-working Hours,VOC [ppb]
125,Zone 3,572.052429,Non-working Hours,VOC [ppb]
98,Zone 3,,Working Hours,VOC [ppb]
127,Zone 3,566.521118333,Non-working Hours,VOC [ppb]
100,Zone 3,558.951965,Working Hours,VOC [ppb]
