,Zones,Value,Occupancy Type,Unit
0,Zone 1,909.666666667,Working Hours,CO2 [ppm]
774,Zone 1,1050.66666667,Working Hours,CO2 [ppm]
773,Zone 1,1032.16666667,Working Hours,CO2 [ppm]
771,Zone 1,1002.33333333,Working Hours,CO2 [ppm]
770,Zone 1,991.0,Working Hours,CO2 [ppm]
769,Zone 1,981.0,Working Hours,CO2 [ppm]
767,Zone 1,933.666666667,Working Hours,CO2 [ppm]
757,Zone 1,965.333333333,Working Hours,CO2 [ppm]
766,Zone 1,915.111111111,Working Hours,CO2 [ppm]
765,Zone 1,922.5,Working Hours,CO2 [ppm]
775,Zone 1,1070.22222222,Working Hours,CO2 [ppm]
764,Zone 1,930.111111111,Working Hours,CO2 [ppm]
762,Zone 1,949.888888888,Working Hours,CO2 [ppm]
761,Zone 1,962.333333333,Working Hours,CO2 [ppm]
760,Zone 1,972.555555554,Working Hours,CO2 [ppm]
759,Zone 1,977.166666667,Working Hours,CO2 [ppm]
758,Zone 1,973.0,Working Hours,CO2 [ppm]
732,Zone 1,845.777777778,Working Hours,CO2 [ppm]
730,Zone 1,855.222222222,Working Hours,CO2 [ppm]
683,Zone 1,865.833333333,Working Hours,CO2 [ppm]
729,Zone 1,862.833333333,Working Hours,CO2 [ppm]
763,Zone 1,937.833333333,Working Hours,CO2 [ppm]
704,Zone 1,916.666666667,Working Hours,CO2 [ppm]
776,Zone 1,1087.0,Working Hours,CO2 [ppm]
778,Zone 1,1115.0,Working Hours,CO2 [ppm]
748,Zone 1,846.555555556,Working Hours,CO2 [ppm]
747,Zone 1,849.5,Working Hours,CO2 [ppm]
746,Zone 1,846.555555555,Working Hours,CO2 [ppm]
745,Zone 1,832.5,Working Hours,CO2 [ppm]
744,Zone 1,819.0,Working Hours,CO2 [ppm]
743,Zone 1,812.5,Working Hours,CO2 [ppm]
742,Zone 1,813.333333333,Working Hours,CO2 [ppm]
741,Zone 1,817.0,Working Hours,CO2 [ppm]
740,Zone 1,821.888888889,Working Hours,CO2 [ppm]
777,Zone 1,1105.0,Working Hours,CO2 [ppm]
739,Zone 1,825.5,Working Hours,CO2 [ppm]
737,Zone 1,822.5,Working Hours,CO2 [ppm]
736,Zone 1,828.555555555,Working Hours,CO2 [ppm]
735,Zone 1,831.333333333,Working Hours,CO2 [ppm]
734,Zone 1,836.0,Working Hours,CO2 [ppm]
733,Zone 1,840.333333333,Working Hours,CO2 [ppm]
754,Zone 1,913.88888889,Working Hours,CO2 [ppm]
755,Zone 1,924.833333333,Working Hours,CO2 [ppm]
756,Zone 1,940.555555557,Working Hours,CO2 [ppm]
768,Zone 1,962.444444444,Working Hours,CO2 [ppm]
738,Zone 1,827.222222222,Working Hours,CO2 [ppm]
703,Zone 1,906.5,Working Hours,CO2 [ppm]
702,Zone 1,898.555555556,Working Hours,CO2 [ppm]
701,Zone 1,884.333333333,Working Hours,CO2 [ppm]
724,Zone 1,920.222222222,Working Hours,CO2 [ppm]
723,Zone 1,935.833333333,Working Hours,CO2 [ppm]
722,Zone 1,956.333333334,Working Hours,CO2 [ppm]
721,Zone 1,984.0,Working Hours,CO2 [ppm]
720,Zone 1,1013.0,Working Hours,CO2 [ppm]
718,Zone 1,1061.88888889,Working Hours,CO2 [ppm]
708,Zone 1,975.333333332,Working Hours,CO2 [ppm]
717,Zone 1,1062.16666667,Working Hours,CO2 [ppm]
716,Zone 1,1057.11111111,Working Hours,CO2 [ppm]
725,Zone 1,905.333333333,Working Hours,CO2 [ppm]
715,Zone 1,1048.66666667,Working Hours,CO2 [ppm]
713,Zone 1,1026.5,Working Hours,CO2 [ppm]
712,Zone 1,1017.33333333,Working Hours,CO2 [ppm]
711,Zone 1,1003.83333333,Working Hours,CO2 [ppm]
710,Zone 1,994.000000002,Working Hours,CO2 [ppm]
709,Zone 1,987.5,Working Hours,CO2 [ppm]
584,Zone 1,842.777777778,Working Hours,CO2 [ppm]
582,Zone 1,914.333333333,Working Hours,CO2 [ppm]
387,Zone 1,800.0,Working Hours,CO2 [ppm]
459,Zone 1,862.666666667,Working Hours,CO2 [ppm]
714,Zone 1,1037.33333333,Working Hours,CO2 [ppm]
726,Zone 1,893.666666667,Working Hours,CO2 [ppm]
727,Zone 1,881.833333333,Working Hours,CO2 [ppm]
728,Zone 1,871.555555555,Working Hours,CO2 [ppm]
700,Zone 1,876.222222222,Working Hours,CO2 [ppm]
699,Zone 1,862.0,Working Hours,CO2 [ppm]
698,Zone 1,835.222222222,Working Hours,CO2 [ppm]
697,Zone 1,816.5,Working Hours,CO2 [ppm]
696,Zone 1,819.222222222,Working Hours,CO2 [ppm]
695,Zone 1,825.333333333,Working Hours,CO2 [ppm]
694,Zone 1,835.222222222,Working Hours,CO2 [ppm]
693,Zone 1,838.166666667,Working Hours,CO2 [ppm]
692,Zone 1,839.555555555,Working Hours,CO2 [ppm]
691,Zone 1,843.444444444,Working Hours,CO2 [ppm]
690,Zone 1,847.0,Working Hours,CO2 [ppm]
689,Zone 1,848.777777778,Working Hours,CO2 [ppm]
688,Zone 1,854.222222222,Working Hours,CO2 [ppm]
687,Zone 1,857.333333333,Working Hours,CO2 [ppm]
686,Zone 1,854.555555555,Working Hours,CO2 [ppm]
685,Zone 1,852.666666667,Working Hours,CO2 [ppm]
684,Zone 1,859.111111111,Working Hours,CO2 [ppm]
705,Zone 1,925.5,Working Hours,CO2 [ppm]
706,Zone 1,941.666666665,Working Hours,CO2 [ppm]
