Location,Zone 1,Zone 2,Zone 3,Zone 4
2017-02-12 05:40:00,-0.00250000006054,0.0,0.0,-0.00200000009499
2017-02-12 05:45:00,-0.00233333340535,0.0,0.0,-0.00233333340535
2017-02-12 05:50:00,-0.00250000006054,0.0,-0.00499999988824,-0.00150000007124
2017-02-12 05:55:00,-0.00266666671572,0.0,0.0,-0.00200000009499
2017-02-12 06:00:00,-0.00250000006054,0.0,0.0,-0.00200000009499
2017-02-12 06:05:00,-0.00300000002608,0.0,0.0,-0.00233333340535
2017-02-12 06:10:00,-0.00250000006054,0.0,-0.00499999988824,-0.00200000009499
2017-02-12 06:15:00,-0.00233333340535,0.0,-0.00333333325883,-0.00200000005619
2017-02-12 06:20:00,-0.00250000006054,0.0,0.0,-0.00300000014249
2017-02-12 06:25:00,-0.00233333340535,0.0,0.0,-0.0010000000475
2017-02-12 06:30:00,-0.00300000002608,0.0,0.0,-0.00250000006054
2017-02-12 06:35:00,-0.00266666679332,0.0,-0.00333333325883,-0.00200000005619
2017-02-12 06:40:00,-0.00200000009499,0.0,0.0,-0.00250000006054
2017-02-12 06:45:00,-0.00266666671572,0.0,-0.00333333325883,-0.00266666671572
2017-02-12 06:50:00,-0.00200000009499,0.0,0.0,-0.00250000006054
2017-02-12 06:55:00,-0.00200000009499,0.0,0.0,-0.00250000006054
2017-02-12 07:00:00,-0.00250000006054,0.0,0.0,-0.00300000002608
2017-02-12 07:05:00,-0.00200000009499,0.0,0.0,-0.00133333339666
2017-02-12 07:10:00,-0.00250000006054,0.0,0.0,-0.00200000009499
2017-02-12 07:15:00,-0.00266666671572,0.0,0.0,-0.00233333340535
2017-02-12 07:20:00,-0.00200000009499,0.0,0.0,-0.00200000009499
2017-02-12 07:25:00,-0.00200000005619,0.0,0.0,-0.00200000009499
2017-02-12 07:30:00,-0.00200000009499,0.0,0.0,-0.00200000009499
2017-02-12 07:35:00,-0.00266666671572,0.0,0.0,-0.00200000009499
2017-02-12 07:40:00,-0.00150000007124,0.0,0.0,-0.00200000009499
2017-02-12 07:45:00,-0.00133333339666,0.0,0.0,-0.00200000005619
2017-02-12 07:50:00,-0.00250000006054,0.0,0.0,-0.00150000007124
2017-02-12 07:55:00,-0.00166666674583,0.0,0.0,-0.00200000009499
2017-02-12 08:00:00,-0.00150000007124,0.0,0.0,-0.00250000006054
2017-02-12 08:05:00,-0.00233333340535,0.0,0.0,-0.00233333340535
2017-02-12 08:10:00,-0.00300000002608,0.0,0.0,-0.00250000006054
2017-02-12 08:15:00,-0.00233333340535,0.0,0.0,-0.00166666674583
2017-02-12 08:20:00,-0.00300000002608,0.0,-0.00499999988824,-0.00200000009499
2017-02-12 08:25:00,-0.00233333340535,0.0,-0.00333333325883,-0.00266666671572
2017-02-12 08:30:00,-0.00200000009499,0.0,0.0,-0.00200000003679
2017-02-12 08:35:00,-0.00233333340535,0.0,-0.00333333325883,-0.00200000009499
2017-02-12 08:40:00,-0.00200000003679,0.0,-0.00499999988824,-0.00200000009499
2017-02-12 08:45:00,-0.00233333336655,0.0,-0.00333333325883,-0.00166666674583
2017-02-12 08:50:00,-0.00200000009499,0.0,0.0,-0.00250000006054
2017-02-12 08:55:00,-0.00200000009499,0.0,0.0,-0.00166666674583
2017-02-12 09:00:00,-0.00250000006054,0.0,0.0,-0.00200000009499
2017-02-12 09:05:00,-0.00200000005619,0.0,-0.00333333325883,-0.00200000009499
2017-02-12 09:10:00,-0.00200000009499,0.0,0.0,-0.00200000009499
2017-02-12 09:15:00,-0.00166666674583,0.0,0.0,-0.00233333340535
2017-02-12 09:20:00,-0.00200000009499,0.0,-0.00499999988824,-0.00200000009499
2017-02-12 09:25:00,-0.00266666671572,0.0,0.0,-0.00200000005619
2017-02-12 09:30:00,-0.00200000009499,0.0,-0.00499999988824,-0.00250000006054
2017-02-12 09:35:00,-0.00233333340535,0.0,0.0,-0.00166666674583
2017-02-12 09:40:00,-0.00200000009499,0.0,0.0,-0.00250000006054
2017-02-12 09:45:00,-0.00200000005619,0.0,-0.00333333325883,-0.00233333340535
2017-02-12 09:50:00,-0.00250000006054,0.0,0.0,-0.00200000009499
2017-02-12 09:55:00,-0.00166666674583,0.0,-0.00333333325883,-0.00200000009499
2017-02-12 10:00:00,-0.00250000006054,0.0,0.0,-0.00200000009499
2017-02-12 10:05:00,-0.00233333340535,0.0,0.0,-0.00300000002608
2017-02-12 10:10:00,-0.00200000009499,0.0,0.0,-0.00150000007124
2017-02-12 10:15:00,-0.00233333340535,0.0,0.0,-0.00200000005619
2017-02-12 10:20:00,-0.00200000009499,0.0,0.0,-0.00150000007124
2017-02-12 10:25:00,-0.00200000005619,0.0,0.0,-0.00200000005619
2017-02-12 10:30:00,-0.00200000009499,0.0,0.0,-0.00250000006054
2017-02-12 10:35:00,-0.00233333340535,0.0,0.0,-0.0010000000475
2017-02-12 10:40:00,-0.00200000009499,0.0,0.0,-0.00150000007124
2017-02-12 10:45:00,-0.00233333340535,0.0,0.0,-0.00166666674583
2017-02-12 10:50:00,-0.00200000009499,0.0,0.0,-0.00250000006054
2017-02-12 10:55:00,-0.00266666679332,0.0,0.0,-0.00166666674583
2017-02-12 11:00:00,-0.00250000006054,0.0,0.0,-0.00250000006054
2017-02-12 11:05:00,-0.00233333340535,0.0,0.0,-0.00233333340535
2017-02-12 11:10:00,-0.00300000002608,0.0,0.0,-0.00250000006054
2017-02-12 11:15:00,-0.00233333344416,0.0,0.0,-0.00233333340535
2017-02-12 11:20:00,-0.00250000006054,0.0,0.0,-0.00250000006054
2017-02-12 11:25:00,-0.00233333340535,0.0,0.0,-0.00200000005619
2017-02-12 11:30:00,-0.00200000003679,0.0,0.0,-0.00250000006054
2017-02-12 11:35:00,-0.00200000009499,0.0,0.0,-0.00233333340535
2017-02-12 11:40:00,-0.00250000006054,0.0,0.0,-0.00200000009499
2017-02-12 11:45:00,-0.00200000009499,0.0,-0.00333333325883,-0.00266666671572
2017-02-12 11:50:00,-0.00300000002608,0.0,-0.00499999988824,-0.00200000009499
